vrel_knee_mps,fwd_knee_mps,bristle_velocity_mps,slide_gate_power,ridge,static_ridge,downweighted_fit_weight,anchor_extra_nm,in_place_max_abs_command,in_place_acceptance_pass,objective_with_gate,anchor_constraint_lagrange,objective_score,validation_objective_rb_corrected_rmse_nm,validation_objective_rb_baseline_rmse_nm,primary_rb_corrected_rmse_nm,open_fit_rb_corrected_rmse_nm,straight_rb_corrected_rmse_nm,high_forward_rb_corrected_rmse_nm,low_launch_rb_corrected_rmse_nm
0.06,0.7,0.016,4.0,0.003,0.0,0.0,0.06501335920678508,0.6288021007421284,True,0.05272702544639044,0.0,0.05272702544639044,0.05272702544639044,0.051393686833940286,0.04492613194506598,0.05729021278421648,0.010497848648897232,0.030532244026847156,0.10434505240383671
0.08,0.7,0.016,4.0,0.1,0.0,0.0,0.06501335920678508,0.6336246231464884,True,0.052891789457917886,0.0,0.052891789457917886,0.052891789457917886,0.051393686833940286,0.04500694365306861,0.05757336802344266,0.010516378023418987,0.030508063494774453,0.10449408528943332
0.08,0.7,0.016,4.0,0.03,0.0,0.0,0.06501335920678508,0.6336260636625449,True,0.05289179304939052,0.0,0.05289179304939052,0.05289179304939052,0.051393686833940286,0.0450069383326088,0.05757320618771982,0.010516321032216638,0.030507833258357993,0.10449407800843814
0.08,0.7,0.016,4.0,0.01,0.0,0.0,0.06501335920678508,0.6336264754113544,True,0.0528917940776148,0.0,0.0528917940776148,0.0528917940776148,0.051393686833940286,0.04500693681444707,0.05757315993139519,0.010516304750894089,0.030507767451117444,0.10449407592904701
0.08,0.7,0.016,4.0,0.003,0.0,0.0,0.06501335920678508,0.6336266195415903,True,0.05289179443771285,0.0,0.05289179443771285,0.05289179443771285,0.051393686833940286,0.04500693628329745,0.05757314373983845,0.010516299052628998,0.030507744415914327,0.10449407520135398
0.06,0.7,0.016,2.0,0.003,0.0,0.0,0.06501335920678508,0.5801350744587745,False,10.069397346708204,0.0,0.04953242116697861,0.04953242116697861,0.051393686833940286,0.042944083372337925,0.05268657785154474,0.010869798176414494,0.03079943692272879,0.09645844567111175
0.06,0.7,0.016,2.0,0.01,0.0,0.0,0.06501335920678508,0.5801345317442335,False,10.069397884152034,0.0,0.04953241589626813,0.04953241589626813,0.051393686833940286,0.042944084857090045,0.05268659556167963,0.010869795721529222,0.030799448702757127,0.09645844386688578
0.06,0.7,0.016,2.0,0.03,0.0,0.0,0.06501335920678508,0.5801329813343244,False,10.069399419505476,0.0,0.04953240083980144,0.04953240083980144,0.051393686833940286,0.042944089100075244,0.05268664615910682,0.010869788714012521,0.030799482359276896,0.09645843871375633
0.06,0.7,0.016,2.0,0.1,0.0,0.0,0.06501335920678508,0.5801275572674996,False,10.069404790906221,0.0,0.04953234817372083,0.04953234817372083,0.051393686833940286,0.0429441039602701,0.05268682321559116,0.010869764262783969,0.030799600148872293,0.0964584206988133
0.05,0.7,0.016,2.0,0.003,0.0,0.0,0.06501335920678508,0.5496018095456298,False,10.099605533297563,0.0,0.04920734284319286,0.04920734284319286,0.051393686833940286,0.042605159153935604,0.052163987166857474,0.010854275134512566,0.03081178780905427,0.09598946236958508
0.05,0.7,0.016,2.0,0.01,0.0,0.0,0.06501335920678508,0.549601339174562,False,10.099605998902227,0.0,0.049207338076787906,0.049207338076787906,0.051393686833940286,0.042605160984792945,0.05216400686093317,0.010854271968729031,0.030811798795731125,0.09598946131836142
0.05,0.7,0.016,2.0,0.03,0.0,0.0,0.06501335920678508,0.549599995422876,False,10.099607329038152,0.0,0.04920732446102703,0.04920732446102703,0.051393686833940286,0.04260516621654783,0.05216406312623999,0.010854262930060038,0.030811830185431738,0.09598945831651987
0.05,0.7,0.016,2.0,0.1,0.0,0.0,0.06501335920678508,0.5495952942235953,False,10.099611982611872,0.0,0.0492072768354682,0.0492072768354682,0.051393686833940286,0.04260518453624381,0.052164260014208846,0.010854231369634095,0.03081194003998937,0.09598944782936743
